olá;Conversa;Oi;1
oi;Conversa;Olá;1
tud bem?;Conversa;Sim e com você?;1
tud otim;Conversa;Que bom!!;1
obrigado!;Conversa;Disponha :);1
pod me ajudar?;Conversa;Sim diga o que deseja;1
sobr criptograf de ponta-a-pont;Geral;A criptografia de ponta-a-ponta do WhatsApp assegura que somente você e a pessoa com que você está se comunicando podem ler o que é enviado e ninguém mais nem mesmo o WhatsApp. ;1
ativ a criptograf de ponta-a-pont;Geral;A criptografia de ponta-a-ponta está sempre ativada desde que todos os envolvidos estejam usando a versão mais recente do WhatsApp.;1
desativ a criptograf de ponta-a-pont;Geral;Não há nenhuma maneira de desativar a criptografia de ponta-a-ponta. ;2
"o que é a tel par ""confirm códig de segurança"" na tel de dad de um contato?";Geral;Cada uma de suas conversas possui seu próprio código de segurança para confirmar que as chamadas que você efetuar e as mensagens que você enviar estarão criptografadas de ponta-a-ponta em cada uma delas. Atenção: O processo de confirmação é opcional e é somente usado para de fato confirmar que as mensagens que você envia estão criptografadas de ponta-a-ponta. Este código pode ser encontrado na tela de dados do contato;1
confirm que uma convers é criptograf de ponta-a-pont;Geral;"- Abra a conversa.
- Toque no nome do contato para abrir a tela de dados.
- Toque em Criptografia para ver o código QR e o código de 60 dígitos. ";1
por que vocês estã atualiz os seus term de servic e sua polít de privacidade?;Geral;Estamos atualizando nossos Termos de Serviço e Política de Privacidade para que eles sejam de fácil compreensão e para que novos recursos e serviços sejam abrangidos. Por exemplo  nossos Termos de Serviço e Política de Privacidade atualizados abrangem novos recursos tais como a Chamada do WhatsApp. WhatsApp para web WhatsApp para computador criptografia de ponta-a-ponta e também nossos planos para que você possa se comunicar com empresas ao utilizar nossos serviços. Lá também é explicado que nós fazemos parte da Família de Empresas do Facebook. Mesmo que o WhatsApp opere separadamente do Facebook nós planejamos compartilhar dados com o Facebook e com a Família de Empresas do Facebook que irão nos ajudar a coordenar e aprimorar experiências em nossos serviços nos serviços do Facebook e das empresas da família do Facebook.;1
exist anúnc no whatsapp agora?;Geral;Nós ainda não permitimos banners com anúncios de terceiros no WhatsApp.No futuro  nós iremos explorar maneiras para que você possa se comunicar com empresas através do WhatsApp. Interações como pedidos transações informações sobre consultas  alertas para entrega de pedidos atualizações sobre produtos e serviços e marketing. Por exemplo você poderá receber notificações sobre o status do voo de sua viagem um recibo de uma compra que você tenha feito ou uma notificação assim que uma entrega tenha sido feita. Mensagens de marketing que você venha a receber poderão conter ofertas de algo que lhe interesse. Nós não queremos que você tenha uma experiência de spam pois como em todas as suas mensagens você poderá administrar estes tipos de comunicação e nós honraremos a sua escolha. 1;1
